Step,Area,Issue Found,Assumption / Resolution,Quantified Impact (USD)
1,Loan Book,Beta tape is not fixed-width as its header suggests; long obligor names shift columns off the dashed header,Parsed on whitespace-runs instead of fixed column positions,N/A - parsing fix
1,Loan Book,"Same economic loans appear on both Alpha and Beta tapes (Timberline, Dawnridge, Solara, Orion mezz, Haruki)",Matched by economics not name; dropped 5 duplicate rows; kept Alpha's WTM-L-0009 for Haruki and dropped BLA-0102,"-15,300,000 (double-count removed)"
1,Loan Book,"Timberline tape shows $35M outstanding, ignoring the Oct-5 voluntary prepayment to $30.5M",Used the corporate action notice as authoritative over the servicer tape (per case's own rule); prorated Q4 coupon around the prepayment date,"-89,000 (interest overstatement corrected)"
1,Loan Book,Orion mezzanine ($25M) exchanged for new senior notes + warrants under RSA; no single correct mark given in data,"Marked exchanged mezz position at the CDS auction price (42.25) rather than an indicative secondary quote, for consistency with the CDS settlement booked in the same event","-14,375,000 (implied writedown at 42.25 recovery)"
1,Loan Book,Emberlight PIK toggle - coupon not paid in cash,"Recognized as accrued interest income (non-cash) and added to principal, per PIK accounting convention","781,250 (Q4 PIK accrual)"
2,Financing Cost,"Fund overview memo points to the wrong file for the Greystone facility balance (revolver report is actually asset-side loan revolvers, not the fund's own borrowing)",Sourced Greystone drawn balance from cash ledger / facility agreement terms instead of the memo's pointer,N/A - source correction
2,Financing Cost,"Greystone commitment fee: cash ledger shows $93,750 paid but contract formula implies $187,500","Recognized the contractually-correct $187,500 (formal docs govern over ledger); booked $93,750 shortfall as accrued payable","93,750 (accrued payable gap)"
2,Financing Cost,"Upfront fee (75bps = $2.25M) was capitalized into loan principal per side letter, not expensed day one; no termination date given in the excerpt","Amortized over an assumed 3-year facility term (explicit judgment call, no data basis for the term)","2,250,000 (total upfront fee, amortized)"
2,Financing Cost,No December cash entry exists for Greystone despite contractual Dec-31 payment date,Used a flat-balance assumption carried from Q3 to estimate Q4 recognized (not cash) interest cost,"5,662,500 (Q4 Greystone recognized cost)"
3,IRS Hedge,IRS and Greystone revolver reference different SOFR credit spread adjustments post-LIBOR transition (26.161bps vs 11.448bps),"Recognized as a structural, unhedgeable basis cost rather than an error to correct","367,825 (annualized basis drag)"
3,IRS Hedge,PM notes claim the swap is undersized based on a $350M effective floating exposure figure,"Found the PM's math incorrectly includes the fixed-rate Ironbridge term loan as floating exposure; corrected analysis shows the swap is oversized 1.2x-2.2x vs actual revolver utilization, not undersized","N/A - directional finding, contradicts PM note"
4,CDS Book,Orion CDS confirm's upfront payment direction is unusual (Seller pays Buyer) and a reciprocal confirmation on file shows the Fund on the other side,"Used the formal confirm's Fixed Rate Payer designation as primary, corroborated by PM's structural reasoning (fund holds the loan, so buying protection is the only sensible direction); flagged the reciprocal confirm as an unresolved open item","14,437,500 (auction settlement receipt)"
4,Concentration,Greystone compliance certificate (Notice 5) leaves the Orion single-name concentration test PENDING RESOLUTION,Resolved using own definitive mezz mark and the fact that the CDS position was closed (cannot be netted at period-end),"65,312,500 (Orion exposure vs 48,125,000 limit - BREACH)"
4,Concentration,Notice 5 never flags Lumivue's combined loan exposure ($120M across two tranches),Independently computed - simple addition the formal compliance process missed,"80,000,000 net (vs 48,125,000 limit - BREACH)"
5,FX Hedge,"GBP/USD forward confirm shows Whitmore BUYS GBP, but the fund holds a GBP loan receivable and should SELL GBP forward to hedge it",Followed PM's explicit instruction to treat the confirm as what actually got done (not what should have been done) for KPI purposes; documented the hedge as backwards,"-2,273,600 realized vs +2,273,600 correct hedge (4.55M swing)"
5,FX Hedge,GBP roll was priced 65 pips off fair-value mid as part of a package deal with the JPY roll,Separated the embedded financing charge from the pure currency-movement P&L rather than blending them,"-146,000 (approx embedded financing cost, isolated)"
5,FX Hedge,USD/JPY settlement email second-guesses its own correct sign convention mid-email,"Recomputed by hand from first principles; used the originally-correct calculation, not the email's self-corrected (wrong) one","488,230 (gain, not the loss the email talked itself into)"
5,FX Hedge,"JPY loan notional was reset in Nov-2025 per the facility agreement, but the FX forward was never resized","Quantified as a hedge-sizing gap, not a direction error","2,153,650 (under-hedged amount at YE spot)"
6,Options,"FRGF written put shows -$65,442 fair value in both the TSV and the broker MTM statement independently",Rebuilt the mark from raw share count x price rather than trusting either source; found a 100x pence-vs-pounds unit error present in both,"-654 (corrected fair value, was -65,442)"
6,Options,"LMVU calls exercised 30-Dec-25 into 15,000 shares","Booked into equity co-invest sleeve at strike+premium cost basis, not exercise-date spot, per PM's explicit no-double-count instruction","1,428,000 (cost basis)"
6,Options,"SLRA OTC call fair value is model-based (62% vol assumption, source unclear)","Did not recognize mark-to-market gains; treated as Level 3, non-recognized until exercise or observable price, per PM's conservative instruction","117,500 (excluded from recognized P&L)"
8,Leased Assets,Content-library lease payments ($450K/qtr) - Fund Accounting treats as opex against a different sleeve's royalty revenue; Portfolio/PM treats as a cost of this sleeve's capital-light investment structure,Adopted the PM/Portfolio view since this sleeve is where the JPY-exposed asset and its FX hedge already sit; documented that this makes this sleeve's yield look worse in isolation because the offsetting royalty revenue is booked elsewhere,"1,279,205 (Q4 recognized lease cost, this sleeve)"
8,LP Capital,Two Cayman feeder LPs elected a GBP-denominated capital call; ops booked USD equivalent at call-date spot (1.2870) instead of the notice's reference rate (1.24),"Reclassified the resulting $203,980 delta out of called capital into fund income, since it is an FX outcome, not a capital contribution","203,980 (reclassified from called capital to income)"
8,Counterparty Concentration,"Same legal entities appear under different names across source systems (Copperfield/ANBS, HTB/Greystone)",Deduplicated by legal entity group using trade references and known corporate relationships; explicitly did NOT merge Greystone Media Holdings into Greystone Trust Bank despite the name collision (unrelated entities),N/A - dedup methodology
9,Loan Book,"A prior pass's own stated dedup logic (drop BLA-0102 for Haruki) was never actually executed in code, silently double-counting the Haruki loan",Caught by re-deriving totals rather than trusting a prior summary line; fixed and re-ran the full notebook from Step 1,"-15,300,000 (corrected loan book: 478,880,743 to 463,579,500)"
